"table_name","column_name"
"admin_access","user_id"
"bookings","id"
"customers","id"
"driver_application_drafts","id"
"driver_applications","id"
"driver_assignments","id"
"driver_availability","id"
"driver_notification_logs","id"
"driver_notifications","id"
"drivers","id"
"notification_logs","id"
"payments","id"
"profiles","id"
"routes","id"
"staff_roles","id"
"staff_roles_old","id"
"trip_assignments","id"
"users","id"
"users","id"
"vehicles","id"
