"table_name"
"admin_access"
"bookings"
"customers"
"driver_application_drafts"
"driver_applications"
"driver_assignments"
"driver_availability"
"driver_notification_logs"
"driver_notifications"
"drivers"
"notification_logs"
"payments"
"profiles"
"routes"
"staff_roles"
"staff_roles_old"
"trip_assignments"
"users"
"vehicles"
