"table_name","column_name"
"driver_application_drafts","user_id"
"driver_availability","driver_id"
"driver_availability","date"
"driver_availability","start_time"
"driver_availability","end_time"
"drivers","license_number"
"routes","from_location"
"routes","to_location"
"staff_roles_old","user_id"
"vehicles","plate_number"
